segment_id,km_start,km_end,aid_interval,lat_start,lon_start,lat_end,lon_end,elevation_start_m,elevation_end_m,ascent_m,descent_m,elevation_metric_basis,average_grade_pct,p95_abs_grade_pct,max_abs_grade_pct,official_route_difficulty,osm_way_ids,osm_way_names,highway,surface,tracktype,smoothness,sac_scale,trail_visibility,landcover,evidence_tag_depth,osm_match_distance_m,inferred_surface_flag,direct_visual_evidence_ids,context_visual_evidence_ids,written_source_ids,map_source_ids,confidence_level,surface_confidence,visual_confidence,equipment_confidence,evidence_class,surface_taxonomy,wet_risk,night_risk,downhill_braking_risk,shoe_implication,poles_implication,what_would_change_this_assessment
MS0001,0.000,0.176,RADOVLJICA->TALEŽ,46.340390,14.176020,46.341380,14.174340,492,494,1.5,-0.0,raw_gpx_edge_sum_not_official_reconciled,0.9,15.4,15.4,T2,38493190;1392278839,Linhartov trg,living_street,paving_stones,,,,,village/settlement,1,0.3,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,cobbles/stairs/urban hard surface,medium,medium-high,low,Do not choose an overly soft shoe solely for this section; enough rubber for wet hard surface.,Usually stowed unless climbing immediately follows.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0002,0.176,0.238,RADOVLJICA->TALEŽ,46.341380,14.174340,46.341650,14.175020,494,491,0.0,3.0,raw_gpx_edge_sum_not_official_reconciled,-4.8,15.1,15.1,T2,461834177;1288641441,Gubčeva ulica,residential,asphalt,,,,,village/settlement,1,0.1,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,asphalt road,low-medium,medium-high,low,Do not choose an overly soft shoe solely for this section; enough rubber for wet hard surface.,Usually stowed unless climbing immediately follows.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0003,0.238,0.282,RADOVLJICA->TALEŽ,46.341650,14.175020,46.341630,14.175450,491,487,0.0,4.0,raw_gpx_edge_sum_not_official_reconciled,-9.1,19.0,19.0,T2,233607069;442135774;1230411605,Gubčeva ulica;Trubarjeva ulica,residential,asphalt,,,,,village/settlement,1,0.3,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,asphalt road,low-medium,medium-high,low,Do not choose an overly soft shoe solely for this section; enough rubber for wet hard surface.,Usually stowed unless climbing immediately follows.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0004,0.282,0.430,RADOVLJICA->TALEŽ,46.341630,14.175450,46.341790,14.177260,487,489,4.0,2.0,raw_gpx_edge_sum_not_official_reconciled,1.4,45.0,100.0,T2,233606930,Gubčeva ulica,residential,asphalt,,,,,village/settlement,1,0.3,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,asphalt road,low-medium,medium-high,low,Do not choose an overly soft shoe solely for this section; enough rubber for wet hard surface.,Usually stowed unless climbing immediately follows.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0005,0.430,0.595,RADOVLJICA->TALEŽ,46.341790,14.177260,46.340940,14.178580,489,490,2.0,1.0,raw_gpx_edge_sum_not_official_reconciled,0.6,13.0,13.0,T2,62093037,Ljubljanska cesta,residential,asphalt,,,,,village/settlement,1,0.4,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,asphalt road,low-medium,medium-high,low,Do not choose an overly soft shoe solely for this section; enough rubber for wet hard surface.,Usually stowed unless climbing immediately follows.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0006,0.595,0.789,RADOVLJICA->TALEŽ,46.340940,14.178580,46.339570,14.177510,490,472,0.0,18.0,raw_gpx_edge_sum_not_official_reconciled,-9.3,11.5,11.5,T2,272221842,Štrukljeva ulica,residential,asphalt,,,,,village/settlement,1,0.7,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,asphalt road,low-medium,medium-high,low,Do not choose an overly soft shoe solely for this section; enough rubber for wet hard surface.,Usually stowed unless climbing immediately follows.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0007,0.789,0.829,RADOVLJICA->TALEŽ,46.339570,14.177510,46.339310,14.177370,472,468,0.0,4.0,raw_gpx_edge_sum_not_official_reconciled,-10.1,15.7,15.7,T2,272221842,Štrukljeva ulica,residential,asphalt,,,,,village/settlement,1,0.3,no,,,S001;S002,S003,medium,medium,none,low-medium,Map/OSM source-tag evidence,asphalt road,low-medium,medium-high,medium,Do not choose an overly soft shoe solely for this section; enough rubber for wet hard surface.,Usually stowed unless climbing immediately follows.,Exact geotagged race image/video or richer OSM surface/smoothness tags for this GPX segment.
MS0008,0.829,1.032,RADOVLJICA->TALEŽ,46.339310,14.177370,46.337810,14.178530,468,464,1.0,5.0,raw_gpx_edge_sum_not_official_reconciled,-2.0,16.1,16.1,T2,691732447,,track,,,,,,village/valley,0,0.2,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM highway-class inference,unknown / insufficient evidence,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0009,1.032,1.206,RADOVLJICA->TALEŽ,46.337810,14.178530,46.336550,14.179790,464,468,5.0,1.0,raw_gpx_edge_sum_not_official_reconciled,2.3,8.4,8.4,T2,1052525535,,path,,,,,,village/valley,0,0.2,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM highway-class inference,inferred forest singletrack,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
MS0010,1.206,1.360,RADOVLJICA->TALEŽ,46.336550,14.179790,46.335490,14.181000,468,464,0.0,4.0,raw_gpx_edge_sum_not_official_reconciled,-2.6,10.8,10.8,T2,1052525535,,path,,,,,,village/valley,0,0.3,yes,,,S001;S002,S003,low-medium,low-medium,none,low-medium,Map/OSM highway-class inference,inferred forest singletrack,unknown,medium-high,unknown,Treat as unresolved; use conservative trail shoe choice.,Treat as unresolved; carry if already in race plan.,"Surface-specific OSM tags, verified street/trail imagery, or local guide text for this exact path."
